ano,mes,codigo_rnt,cod_mun,cod_dpto,estado_rnt,razon_social_establecimiento,departamento,municipio,categoria,num_emp1,sub_categoria,habitaciones,camas
2024,3,1939,20001,20,ACTIVO,CAJA DE COMPENSACION FAMILIAR DEL CESAR  COMFACESAR,CESAR,VALLEDUPAR,OFICINAS DE REPRESENTACION TURÍSTICA,3,OFICINA DE REPRESENTACION TURÍSTICA,0,0
2024,1,6161,20001,20,ACTIVO,HOTEL 9. 99,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,25,37
2024,3,6870,20001,20,ACTIVO,HOTEL DAMAR,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,4,HOTEL,58,114
2024,3,6923,20001,20,ACTIVO,HOTEL CESAR NO.2,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,21,31
2024,3,6924,20001,20,ACTIVO,HOTEL CESAR NO. 1,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,14,21
2024,3,6980,20001,20,ACTIVO,AVIATUR VALLEDUPAR,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,3,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,3,11913,20001,20,ACTIVO,HOTEL EL CEIBOTE,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,19,33
2024,4,12371,20001,20,ACTIVO,HOTEL CASABIANCA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,19,21
2024,4,14572,20001,20,ACTIVO,HOTEL UNION,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,14,22
2024,4,15074,20001,20,ACTIVO,ORQUIDEA REAL HOTEL,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,2,HOTEL,42,115
2024,3,15522,20001,20,ACTIVO,HOTEL SARACHUY,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,4,HOTEL,14,14
2024,3,17269,20001,20,ACTIVO,HOTEL LAS VEGAS PLAZA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,3,HOTEL,25,33
2024,3,17318,20001,20,ACTIVO,CAMINO TOUR. AC,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,2,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,3,17433,20001,20,ACTIVO,CAMINO TOUR. AC,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,2,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,3,18436,20001,20,ACTIVO,HOTEL CALDERON,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,5,HOTEL,20,40
2024,3,18713,20001,20,ACTIVO,HOTEL BUENAVISTA B.V.,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,3,HOTEL,33,33
2024,1,19315,20001,20,ACTIVO,HUGO ANTONIO PEREZ GOMEZ,CESAR,VALLEDUPAR,GUIAS DE TURISMO,0,GUIA DE TURISMO,0,0
2024,3,21363,20001,20,ACTIVO,HOTEL MILENIUM,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,25,29
2024,4,21672,20001,20,ACTIVO,PRESTO VUP GUATAPURI,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE GASTRONOMÍA,5,RESTAURANTE DE AUTOSERVICIO,0,0
2024,4,22691,20001,20,ACTIVO,SERRANO PLAZA HOTEL,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,28,32
2024,3,23600,20001,20,ACTIVO,HOSTAL LOPERENA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,2,HOSTAL,13,40
2024,4,25891,20001,20,ACTIVO,HOTEL SIRENA PLAZA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,2,HOTEL,15,20
2024,3,26579,20001,20,ACTIVO,HOTEL BOUTIQUE CALLE GRANDE,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,5,HOTEL,28,45
2024,3,27334,20001,20,ACTIVO,AMICHIS TRAVEL,CESAR,VALLEDUPAR,OFICINAS DE REPRESENTACION TURÍSTICA,1,OFICINA DE REPRESENTACION TURÍSTICA,0,0
2024,2,28892,20001,20,ACTIVO,VALLENATOUR,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES OPERADORAS,0,0
2024,3,29665,20001,20,ACTIVO,HOTEL VALLEDUPAR PLAZA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,4,HOTEL,23,26
2024,3,30029,20001,20,ACTIVO,HCB HOTEL CASA BLANCA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,3,HOTEL,30,40
2024,3,30522,20001,20,ACTIVO,MARANATA HOTEL,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,5,HOTEL,39,60
2024,3,30523,20001,20,ACTIVO,HOTEL KURAKATA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,5,HOTEL,50,93
2024,2,31223,20001,20,ACTIVO,VIAJES CIRCULAR S.A.S. VALLEDUPAR,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,2,34458,20001,20,ACTIVO,HOTEL EL TRIUNFO VALLENATO,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,2,HOTEL,20,25
